Valor, Comparacoes_Heap, Comparacoes_Lista
487, 2, 198
297, 1, 108
518, 1, 211
177, 2, 65
773, 3, 316
270, 1, 93
763, 2, 315
668, 3, 277
192, 1, 75
985, 6, 399
102, 1, 37
480, 2, 198
213, 1, 86
627, 3, 262
802, 4, 335
99, 1, 36
527, 3, 221
625, 3, 262
543, 2, 231
924, 4, 383
23, 1, 12
972, 6, 407
61, 1, 29
181, 1, 71
3, 1, 1
432, 2, 180
505, 2, 216
593, 2, 255
725, 2, 316
31, 1, 16
492, 2, 215
142, 1, 53
222, 1, 95
286, 1, 113
64, 1, 32
900, 5, 390
187, 1, 79
360, 2, 158
413, 2, 174
974, 6, 425
270, 1, 106
170, 2, 72
235, 2, 101
833, 4, 372
711, 3, 319
760, 3, 345
896, 4, 399
667, 3, 304
285, 1, 117
550, 2, 256
140, 1, 53
694, 3, 317
695, 3, 318
624, 2, 284
19, 1, 8
125, 1, 51
576, 2, 266
694, 2, 321
658, 1, 307
302, 2, 134
371, 2, 170
466, 1, 214
678, 3, 322
593, 2, 276
851, 4, 399
484, 1, 227
18, 1, 7
464, 2, 214
119, 1, 52
152, 1, 65
800, 4, 383
87, 1, 40
60, 1, 32
926, 6, 436
10, 1, 7
757, 4, 367
170, 1, 81
315, 1, 152
576, 2, 279
227, 2, 111
43, 1, 28
758, 4, 375
164, 1, 78
109, 1, 53
882, 4, 428
86, 2, 43
565, 2, 282
487, 2, 244
577, 3, 288
474, 2, 233
625, 3, 313
627, 2, 317
629, 2, 319
928, 5, 456
423, 1, 205
520, 2, 263
902, 3, 450
962, 6, 478
123, 1, 59
596, 3, 302
737, 3, 379
261, 2, 122
195, 1, 103
525, 3, 268
264, 1, 125
260, 2, 123
202, 1, 109
116, 1, 57
30, 1, 18
326, 2, 172
11, 1, 8
771, 4, 406
411, 1, 206
547, 2, 288
153, 1, 76
520, 2, 275
790, 3, 419
924, 5, 475
188, 1, 100
763, 3, 409
940, 5, 488
851, 2, 448
662, 1, 356
829, 3, 438
900, 4, 471
713, 2, 382
958, 6, 503
578, 2, 308
365, 1, 193
7, 1, 4
477, 2, 252
200, 2, 114
58, 1, 37
439, 2, 233
303, 1, 161
760, 2, 417
357, 1, 193
324, 2, 179
477, 2, 258
108, 2, 58
113, 2, 60
887, 4, 479
801, 2, 443
850, 3, 466
460, 1, 250
428, 1, 232
993, 7, 538
384, 1, 210
405, 1, 217
540, 3, 305
111, 1, 60
704, 3, 396
835, 4, 468
356, 2, 197
72, 1, 43
350, 2, 193
823, 4, 461
485, 2, 278
556, 2, 321
216, 2, 126
626, 3, 360
357, 2, 201
526, 2, 303
357, 2, 201
337, 1, 191
271, 1, 145
869, 4, 494
361, 1, 209
896, 6, 511
22, 1, 17
617, 2, 357
112, 1, 63
717, 3, 420
696, 2, 408
585, 1, 342
41, 1, 30
423, 1, 242
129, 2, 74
229, 2, 136
565, 2, 338
559, 1, 338
932, 5, 543
296, 1, 168
855, 3, 504
53, 1, 36
962, 6, 564
584, 1, 350
734, 2, 442
654, 1, 395
972, 6, 572
457, 1, 269
369, 2, 220
532, 2, 321
963, 5, 573
607, 1, 369
483, 1, 290
911, 4, 544
635, 2, 391
67, 1, 45
848, 3, 512
675, 1, 419
938, 5, 562
223, 1, 136
142, 1, 81
754, 3, 462
511, 2, 311
741, 2, 458
175, 1, 106
459, 3, 277
825, 3, 505
221, 1, 135
870, 5, 535
626, 2, 391
934, 5, 572
205, 1, 132
783, 3, 488
850, 3, 526
398, 1, 240
279, 1, 159
701, 4, 439
193, 1, 121
734, 4, 463
637, 2, 405
534, 3, 334
556, 3, 352
993, 6, 616
176, 1, 107
705, 3, 450
962, 5, 603
548, 2, 347
881, 3, 553
300, 2, 182
413, 2, 249
641, 2, 413
855, 3, 544
855, 3, 544
142, 1, 81
462, 2, 288
611, 2, 391
877, 3, 561
424, 1, 264
678, 1, 443
752, 2, 486
443, 2, 278
296, 1, 179
673, 4, 442
40, 1, 29
313, 1, 193
875, 5, 568
72, 1, 48
818, 3, 533
610, 2, 397
17, 1, 10
932, 5, 607
112, 1, 69
695, 3, 459
169, 1, 106
831, 3, 546
40, 1, 30
488, 3, 324
685, 4, 457
90, 1, 59
497, 2, 329
589, 3, 391
990, 8, 654
145, 1, 92
353, 1, 228
314, 2, 204
651, 4, 441
740, 4, 503
44, 1, 37
258, 1, 161
335, 1, 223
759, 4, 522
192, 1, 131
605, 3, 410
264, 1, 166
181, 1, 120
503, 2, 340
829, 5, 564
775, 2, 537
608, 1, 415
292, 1, 189
997, 8, 677
549, 2, 378
556, 2, 383
561, 2, 390
627, 3, 438
467, 2, 314
541, 2, 372
129, 1, 83
240, 2, 160
813, 2, 567
174, 1, 117
601, 2, 420
77, 1, 55
215, 1, 152
683, 1, 486
213, 1, 151
992, 7, 688
824, 1, 578
601, 2, 423
392, 1, 269
759, 3, 545
670, 1, 482
428, 2, 293
27, 1, 22
84, 2, 58
75, 1, 55
786, 4, 565
